m,torch used time (ms),cutlass GemmBasic used time (ms),cutlass GemmStreamK used time (ms)
1848,0.42,0.39,1.59
3072,0.7,0.6,1.77
4004,0.8,0.78,1.98
4158,0.79,0.77,1.99
4312,0.81,0.81,1.89
4466,0.81,0.81,2.02
4620,0.98,0.93,12.42
4774,0.98,0.94,1.21
4928,0.99,0.96,2.13
5082,0.99,0.96,2.17
5236,1.09,0.99,2.2
5390,1.09,1.01,2.07
5544,1.09,1.02,2.22
5698,1.09,1.02,1.05
5852,1.14,1.12,2.27
6006,1.14,1.13,1.41
6160,1.14,1.16,2.32
6314,1.18,1.18,2.38
6468,1.19,1.19,2.38
6622,1.19,1.21,2.27
6776,1.19,1.22,2.41
6930,1.42,1.33,2.46
7084,1.42,1.33,1.61
7238,1.42,1.36,848.66
7392,1.42,1.36,2.55
7546,1.47,1.41,2.69
7700,1.47,1.42,2.44
7854,1.47,1.43,2.6
8008,1.46,1.47,1.42
8162,1.52,1.54,590.86
8316,1.52,1.57,8.31
8424,1.52,1.58,2.69
8470,1.51,1.59,26.53
8624,1.57,1.64,16.8
8736,1.58,1.63,2.76
8778,1.58,1.65,15.57
8932,1.58,1.67,16.23
8970,1.58,1.65,2.79
9048,1.57,1.68,2.79
9086,1.59,1.69,52.69
9240,1.8,1.79,21.82
9269,1.8,1.77,2.86
9394,1.8,1.8,7.75
9450,1.8,1.78,2.0
9548,1.81,1.84,4.07
9672,1.8,1.83,2.92
9702,1.81,1.85,8.68
9744,1.85,1.88,2.95
9856,1.85,1.89,3.96
9867,1.85,1.87,9.89
10010,1.86,1.92,2.82
10080,1.86,1.92,3.73
10140,1.85,1.92,2.98
10164,1.85,1.93,7.12
10166,1.86,1.92,3.08
10296,1.85,1.96,1.81
10318,1.86,1.96,1.82
10465,1.9,2.05,3.02
10472,1.9,2.05,8.16
10530,1.9,2.06,2.16
10764,1.9,2.11,5.38
10850,1.9,2.11,3.07
11063,1.96,2.16,3.14
11200,1.96,2.18,3.02
11550,2.18,2.31,7.67
11661,2.18,2.33,2.37
11856,2.18,2.37,3.28
11900,2.18,2.37,4.75
11960,2.18,2.37,3.31
12064,2.23,2.42,6.17
12090,2.23,2.42,3.31
12150,2.23,2.42,3.32
12168,2.23,2.44,3.33
